source,slug,normalized_key,proposed_domain,domain_reason,multifile,relpath,winner,tier
codex,i18n-l10n,i18n-l10n,frontend-ui,exact,no,i18n-l10n,WIN,通用
codex,nextjs-dev,nextjs,frontend-ui,kw:nextjs,no,nextjs-dev,WIN,通用
codex,screenshot,screenshot,frontend-ui,kw:screenshot,yes,screenshot,WIN,通用
codex,svelte-dev,svelte,frontend-ui,kw:svelte,no,svelte-dev,WIN,通用
codex,ui-design,anna-ui-design,frontend-ui,kw:ui-design,no,anna-ui-design,WIN,通用
codex,ui-doc-output,coff0xc-ui-doc-output,frontend-ui,exact,yes,coff0xc-ui-doc-output,WIN,通用
codex,UIdesign,uidesign,frontend-ui,kw:uidesign,yes,UIdesign,WIN,通用
codex,vue-dev,vue,frontend-ui,kw:vue,no,vue-dev,WIN,通用
codex,winui-app,winui-app,frontend-ui,kw:winui,yes,winui-app,WIN,半通用
cskills,nextdev,nextdev,frontend-ui,rule:csk-readme,no,nextdev,WIN,通用
cskills,react-development,react,frontend-ui,rule:csk-readme,no,react-development,WIN,通用
cskills,screenshot-to-ui,screenshot-to-ui,frontend-ui,rule:csk-readme,no,screenshot-to-ui,WIN,通用
cskills,svelte,svelte,frontend-ui,rule:csk-readme,no,svelte,dup,
cskills,ui-design,ui-design,frontend-ui,rule:csk-readme,no,ui-design,WIN,通用
cskills,vue-development,vue,frontend-ui,rule:csk-readme,no,vue-development,dup,
ours,css-modern-2025,css-modern-2025,frontend-ui,rule:ours-path,no,frontend-ui/ours/css-modern-2025,WIN,通用
ours,design-system-implementation,design-system-implementation,frontend-ui,rule:ours-path,no,frontend-ui/ours/design-system-implementation,WIN,通用
ours,frontend-performance,frontend-performance,frontend-ui,rule:ours-path,no,frontend-ui/ours/frontend-performance,WIN,通用
ours,frontend-state-data-flow,frontend-state-data-flow,frontend-ui,rule:ours-path,no,frontend-ui/ours/frontend-state-data-flow,WIN,通用
community,grants,grants,grant-funding,rule:community-path,yes,grant-funding/community/grants,WIN,通用
community,ab-test-setup,ab-test-setup,growth-experiments,rule:community-path,yes,growth-experiments/community/ab-test-setup,WIN,通用
community,free-tool-strategy,free-tool-strategy,growth-experiments,rule:community-path,yes,growth-experiments/community/free-tool-strategy,WIN,通用
community,referral-program,referral-program,growth-experiments,rule:community-path,yes,growth-experiments/community/referral-program,WIN,通用
community,handoff,handoff,handoff-knowledge,rule:community-path,yes,handoff-knowledge/community/handoff,WIN,通用
codex,STM32进阶开发,stm32进阶开发,hardware-systems,kw:stm32,no,STM32进阶开发,WIN,通用
codex,STM32嵌入式核心开发,stm32嵌入式核心开发,hardware-systems,kw:stm32,no,STM32嵌入式核心开发,WIN,通用
codex,STM32外设驱动开发,stm32外设驱动开发,hardware-systems,kw:stm32,no,STM32外设驱动开发,WIN,通用
cskills,embedded-firmware,embedded-firmware,hardware-systems,rule:csk-readme,no,embedded-firmware,WIN,通用
cskills,fpga-asic-hdl,fpga-asic-hdl,hardware-systems,rule:csk-readme,no,fpga-asic-hdl,WIN,通用
cskills,linux-driver-development,linux-driver,hardware-systems,rule:csk-readme,no,linux-driver-development,WIN,通用
cskills,uefi-development,uefi,hardware-systems,rule:csk-readme,no,uefi-development,WIN,通用
cskills,windows-driver-development,windows-driver,hardware-systems,rule:csk-readme,no,windows-driver-development,WIN,通用
community,launch-strategy,launch-strategy,launch-management,rule:community-path,yes,launch-management/community/launch-strategy,WIN,通用
community,syllabus,syllabus,learning-design,rule:community-path,yes,learning-design/community/syllabus,WIN,通用
community,litreview,litreview,literature-review,rule:community-path,yes,literature-review/community/litreview,WIN,通用
cskills,amap-gaode,amap-gaode,maps-location,rule:csk-readme,no,amap-gaode,WIN,半通用
cskills,baidu-map,baidu-map,maps-location,rule:csk-readme,no,baidu-map,WIN,半通用
cskills,esri-arcgis,esri-arcgis,maps-location,rule:csk-readme,no,esri-arcgis,WIN,半通用
